City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Lewistown,US,2022-02-10 18:53:29,40.5992,-77.5714,51.08,82,20,9.22
143,Cape Town,ZA,2022-02-10 18:50:24,-33.9258,18.4232,70.27,55,0,10.36
144,Buraydah,SA,2022-02-10 18:53:30,26.326,43.975,72.05,43,27,13.62
145,Puerto Cabezas,NI,2022-02-10 18:53:30,14.0351,-83.3888,84.16,79,75,9.22
146,Shirokiy,RU,2022-02-10 18:53:31,49.758,129.523,-0.53,98,100,4.03
147,Khatanga,RU,2022-02-10 18:53:31,71.9667,102.5,-4.54,96,99,13.96
148,Zhigansk,RU,2022-02-10 18:53:32,66.7697,123.3711,-29.49,97,98,11.16
149,Tiksi,RU,2022-02-10 18:53:33,71.6872,128.8694,-10.28,92,100,16.26
150,Muros,ES,2022-02-10 18:53:34,42.7762,-9.0603,57.24,93,100,4.94
151,Victoria,HK,2022-02-10 18:53:15,22.2855,114.1577,63.95,89,100,7.0
152,Chuy,UY,2022-02-10 18:53:34,-33.6971,-53.4616,77.9,51,5,14.47
153,Grindavik,IS,2022-02-10 18:53:35,63.8424,-22.4338,30.67,93,75,13.8
154,Bontang,ID,2022-02-10 18:53:35,0.1333,117.5,75.87,91,100,4.32
155,Oktyabrskiy,RU,2022-02-10 18:53:36,54.4815,53.471,19.69,92,100,11.68
156,Bhatkal,IN,2022-02-10 18:53:36,13.9667,74.5667,74.91,70,0,3.91
157,Mar Del Plata,AR,2022-02-10 18:51:45,-38.0023,-57.5575,84.22,87,0,25.99
158,Juan Lacaze,UY,2022-02-10 18:53:37,-34.4342,-57.4381,85.12,54,0,13.42
159,Faanui,PF,2022-02-10 18:53:38,-16.4833,-151.75,81.21,75,66,14.58
160,Sapuyes,CO,2022-02-10 18:53:38,1.0373,-77.6209,61.23,81,100,2.24
161,Karratha,AU,2022-02-10 18:53:39,-20.7377,116.8463,84.18,74,9,10.83
162,Caravelas,BR,2022-02-10 18:53:40,-17.7125,-39.2481,83.3,65,0,10.25
163,Khandyga,RU,2022-02-10 18:53:40,62.6667,135.6,-39.37,100,98,0.89
164,Turayf,SA,2022-02-10 18:53:41,31.6725,38.6637,44.85,81,40,11.5
165,Butaritari,KI,2022-02-10 18:50:49,3.0707,172.7902,80.96,79,18,16.75
166,Lata,PT,2022-02-10 18:53:42,40.1629,-8.3327,57.61,64,100,2.17
167,Arraial Do Cabo,BR,2022-02-10 18:53:42,-22.9661,-42.0278,71.46,94,100,6.91
168,Palmer,US,2022-02-10 18:53:43,42.1584,-72.3287,51.82,53,75,8.05
169,Corinto,GR,2022-02-10 18:53:44,37.9407,22.9573,53.69,67,0,3.6
170,Ternate,ID,2022-02-10 18:53:44,0.8,127.4,79.7,83,100,4.92
171,Yulara,AU,2022-02-10 18:53:45,-25.2406,130.9889,73.24,46,0,5.75
172,Vredendal,ZA,2022-02-10 18:53:45,-31.6683,18.5012,66.04,72,0,12.93
173,Ayan,RU,2022-02-10 18:53:46,56.45,138.1667,10.22,90,100,8.57
174,Lompoc,US,2022-02-10 18:53:47,34.6391,-120.4579,83.84,25,0,6.91
175,Alekseyevsk,RU,2022-02-10 18:53:47,57.8406,108.3492,-21.71,100,90,2.68
176,Okhotsk,RU,2022-02-10 18:53:48,59.3833,143.3,3.79,88,100,5.3
177,Carauari,BR,2022-02-10 18:53:48,-4.8828,-66.8958,82.89,82,100,0.76
178,Sistranda,NO,2022-02-10 18:53:49,63.7256,8.834,33.76,61,100,27.89
